"EventNum","Event","Place","Crew","CrewAbbrev","Bow","Stroke","Start","Finish","RawTime","PenaltyCode","AdjTime","Delta"
"1","- Juniors femmes et U19Mix C2x","1","Società Canottieri Locarno 2 (Beatrice Ravini Perelli / Lauro Buffi)","SCL 2","213","U19Mix C2x*","10:15:00.7","10:43:32.9","28:32.2","","28:32.2",""
"1","- Juniors femmes et U19Mix C2x","2","Lausanne-Sports Aviron 2 (Ella Hostettler/ William McClean)","LSA 2","925","U19Mix C2x*","10:15:00.7","10:43:46.7","28:46.0","","28:46.0","00:13.8"
"1","- Juniors femmes et U19Mix C2x","3","Lausanne-Sports Aviron 3 (Yasmina Cretegny (b) / Anaëlle Pacaud / Ella Pavillon / Alicia Van Dyke / Yasmina Ben Moussa)","LSA 3","401","U19W C4x+","10:15:00.7","10:44:06.0","29:05.3","","29:05.3","00:33.1"
"1","- Juniors femmes et U19Mix C2x","4","Club d'Aviron Vésenaz 2 (Ani Baronijan (b) / Zoé Kaiser / Sienna Schmid / Joalina Haymoz / Juliette Gage)","CAVz 2","90","U19W C4x+","10:15:00.7","10:46:20.7","31:20.0","","31:20.0","02:47.8"
"1","- Juniors femmes et U19Mix C2x","5","Club d'Aviron Vésenaz 1 (Charlotte Condacci Reis / Mathieu Sormani)","CAVz 1","6","U19Mix C2x*","10:15:00.7","10:46:27.0","31:26.3","","31:26.3","02:54.1"
"1","- Juniors femmes et U19Mix C2x","6","Società Canottieri Locarno 3 (Giulia Maggini / Lhamo Crivelli)","SCL 3","220","U19W C2x","10:15:00.7","10:47:01.7","32:01.0","","32:01.0","03:28.8"
"1","- Juniors femmes et U19Mix C2x","7","Forward Rowing Club Morges 1 (Louise Martin (b) / Sixtine Charbonnier / Andréa Sorensen / Diana Ciotti / Guillemette Rolland)","FRCM 1","411","U19W C4x+","10:15:00.7","10:47:11.3","32:10.6","","32:10.6","03:38.4"
"1","- Juniors femmes et U19Mix C2x","8","Lausanne-Sports Aviron 1 (Sarah Bianchi)","LSA 1","1009","U19W C1x*","10:15:00.7","10:48:17.4","33:16.7","","33:16.7","04:44.5"
"1","- Juniors femmes et U19Mix C2x","9","Club Aviron Vevey 1 (Sanchia Green / Katharina Zeller)","CAV 1","851","U19W C2x","10:15:00.7","10:48:44.9","33:44.2","","33:44.2","05:12.0"
"1","- Juniors femmes et U19Mix C2x","10","Rowing Club Lausanne  (Danaé Rieben)","RCL 4","102","U19W C1x*","10:15:00.7","10:49:18.9","34:18.2","","34:18.2","05:46.0"
"1","- Juniors femmes et U19Mix C2x","11","Lausanne-Sports Aviron 19 (Salomé Berhe)","LSA 19","125","U19W C1x*","10:15:00.7","10:49:46.7","34:46.0","","34:46.0","06:13.8"
"2","- Juniors hommes","1","Forward Rowing Club Morges 2 (Olivier Wood / Jérémie Lafond (b) / Jérome Laurent / Gautier Rigoli / Samuel Chetelat)","FRCM 2","926","U19M C4x+","11:45:00.3","12:09:30.9","24:30.6","","24:30.6",""
"2","- Juniors hommes","2","Lausanne-Sports Aviron 8 (Léni Arricau (b) / Matteo Edgar / Marc Kallergis / Arthur Warpelin / Nathan Clément)","LSA 8","401","U19M C4x+","11:45:00.3","12:10:00.8","25:00.5","","25:00.5","00:29.9"
"2","- Juniors hommes","3","Lausanne-Sports Aviron 6 (Emilien Studer / Matveï Schlageter)","LSA 6","925","U19M C2x","11:45:00.3","12:11:00.5","26:00.2","","26:00.2","01:29.6"
"2","- Juniors hommes","4","Club d'Aviron Vésenaz 3 (Manon Faidutti (b) / Clément Philippe / Alexander Koudriaev / Pietro Fatini del Grande / Gabriel Hars)","CAVz 3","90","U19M C4x+","11:45:00.3","12:11:17.1","26:16.8","","26:16.8","01:46.2"
"2","- Juniors hommes","5","Club Aviron Vevey 2 (Alexandrina Raffin (b) / Giovanni Magnani / Tobia Petermann / Thomas Skinner / Kosma Chelkowski)","CAV 2","412","U19M C4x+","11:45:00.3","12:12:24.5","27:24.2","","27:24.2","02:53.6"
"2","- Juniors hommes","6","Lausanne-Sports Aviron 4 (Ondrej Zedka)","LSA 4","1000","U19M C1x*","11:45:00.3","12:13:22.8","28:22.5","","28:22.5","03:51.9"
"2","- Juniors hommes","7","Società Canottieri Locarno 1 (Joel Pellegrini)","SCL 1","1009","U19M C1x*","11:45:00.3","12:13:43.7","28:43.4","","28:43.4","04:12.8"
"2","- Juniors hommes","8","Rowing Club Lausanne 6 (Damien Klingler)","RCL 6","102","U19M C1x*","11:45:00.3","12:13:56.1","28:55.8","","28:55.8","04:25.2"
"2","- Juniors hommes","9","Club d'Aviron Vésenaz 4 (Margaux Bulliard (b) / Clément Rault / Alix Heymans / Oscar Sluijs / Aleksandar Khoury)","CAVz 4","852","U19M C4x+","11:45:00.3","12:14:15.2","29:14.9","","29:14.9","04:44.3"
"2","- Juniors hommes","10","Seeclub Sursee (Sebastian Ziswiler)","SS","101","U19M C1x*","11:45:00.3","12:14:15.4","29:15.1","","29:15.1","04:44.5"
"2","- Juniors hommes","11","Lausanne-Sports Aviron 7 (Shams Jarowski / Alexy Leal)","LSA 7","222","U19M C2x","11:45:00.3","12:14:31.5","29:31.2","","29:31.2","05:00.6"
"2","- Juniors hommes","12","Club Aviron Vevey 3 (Antoine Smolovik)","CAV 3","103","U19M C1x*","11:45:00.3","12:17:48.0","32:47.7","","32:47.7","08:17.1"
"2","- Juniors hommes","13","Lausanne-Sports Aviron 5 (Benas Beniulis)","LSA 5","125","U19M C1x*","11:45:00.3","12:18:22.5","33:22.2","","33:22.2","08:51.6"
"2","- Juniors hommes","","Rowing Club Lausanne 3 (Aurélie Charles (b) / Liam Rossat / Nello Quattrocchi / Akando Räderer / Tamino Räderer)","RCL 3","403","U19M C4x+","","12:09:52.8","","","DQ",""
"3","- Seniors & masters hommes, Mix C2x et Mix C4x+","1","Mix Société Nautique Étoile Bienne & Club Aviron Vevey «Les étoiles filantes» (Noah Mollard (b) / Candice Humair / Martin Gunn / Angela Zimmerman / Jolan Wicht)","SNEB / CAV","926","Mix C4x+","13:30:00.7","13:56:15.7","26:15.0","","26:15.0",""
"3","- Seniors & masters hommes, Mix C2x et Mix C4x+","2","Chablais Aviron Thonon 2 (Maryline Gentin / Simon Dubouloz)","CAT 2","921","Mix C2x","13:30:00.7","13:56:37.2","26:36.5","","26:36.5","00:21.5"
"3","- Seniors & masters hommes, Mix C2x et Mix C4x+","3","Lausanne-Sports Aviron 10 (Tom de Geus (b) / Michael Fatien / Arnaud Tirard-Gatel / Jean-David Maillefer / Paolo Mattana)","LSA 10","401","M C4x+","13:30:00.7","13:57:00.9","27:00.2","","27:00.2","00:45.2"
"3","- Seniors & masters hommes, Mix C2x et Mix C4x+","4","Club d'Aviron Vésenaz 7 (Amélie Mach / Daniele Frisone)","CAVz 7","925","Mix C2x","13:30:00.7","13:57:02.5","27:01.8","","27:01.8","00:46.8"
"3","- Seniors & masters hommes, Mix C2x et Mix C4x+","5","Lausanne-Sports Aviron 14 «LSAviron on the sea» (Romain Loup / Adeline Seydoux)","LSA 14","211","Mix C2x*","13:30:00.7","13:57:04.2","27:03.5","","27:03.5","00:48.5"
"3","- Seniors & masters hommes, Mix C2x et Mix C4x+","6","Lausanne-Sports Aviron 9 (Frédéric Hanselmann)","LSA 9","1009","M C1x*","13:30:00.7","13:57:14.6","27:13.9","","27:13.9","00:58.9"
"3","- Seniors & masters hommes, Mix C2x et Mix C4x+","7","Forward Rowing Club Morges 6 (Kévin Rhein / Louise Martin)","FRCM 6","6","Mix C2x*","13:30:00.7","13:57:26.7","27:26.0","","27:26.0","01:11.0"
"3","- Seniors & masters hommes, Mix C2x et Mix C4x+","8","Aviron Club Lyon Caluire «Juju&yoyo» (Lionel Cotte / Justine De Bats)","ACLC","43","MMix C2x","13:30:00.7","13:57:46.2","27:45.5","","27:45.5","01:30.5"
"3","- Seniors & masters hommes, Mix C2x et Mix C4x+","9","Polytechniker Ruderclub (Ulrike Walter (b) / Maud Hanitzsch / Sabine Kanne / Riccardo Cattaneo / Simon Leinen)","Mixpoly","90","MMix C4x+","13:30:00.7","13:58:14.8","28:14.1","","28:14.1","01:59.1"
"3","- Seniors & masters hommes, Mix C2x et Mix C4x+","10","Chablais Aviron Thonon 1 (Stéphanie Faroppa / Olivier Béal)","CAT 1","490","Mix C2x","13:30:00.7","13:58:19.1","28:18.4","","28:18.4","02:03.4"
