"EventNum","Event","Place","Crew","CrewAbbrev","Bow","Stroke","Start","Finish","Bouée_A","Bouée_C","RawTime","PenaltyCode","AdjTime","Delta"
"🪸 1","- U19W C4x+","1","Lausanne Sports Section Aviron 1 (Aedan Coetsier (c) / Yasmina Cretegny / Yasmina Ben Moussa / Ella Pavillon / Salomé Berhe)","LSA 1","412","U19W C4x+","10:15:01.8","10:49:37.2","07:45.6","16:47.5","34:35.4","","34:35.4",""
"🪸 1","- U19W C4x+","2","Rowing Club Lausanne 1 (Lilia Adra (c) / Caelyn Stuckey / Fanny Knobel / Ella Laedermann / Charlotte Wolf)","RCL 1","403","U19W C4x+","10:15:01.8","10:50:51.6","07:57.8","17:03.4","35:49.8","","35:49.8","01:14.4"
"🪸 1","- U19W C4x+","3","Club Aviron Vésenaz 1 (Manon Faidutti (c) / Ani Baronijan / Margaux Bulliard / Juliette Gage / Marion Dallaturca)","CAV 1","926","U19W C4x+","10:15:01.8","10:51:55.4","09:00.6","18:05.2","36:53.6","","36:53.6","02:18.2"
"🪸 2","- U19Mix C2x*","1","Rowing Club Lausanne 3 (Liam Rossat / Maude Winkler)","RCL 3","234","U19Mix C2x*","10:15:01.8","10:48:18.9","06:49.3","15:04.0","33:17.1","","33:17.1",""
"🪸 2","- U19Mix C2x*","2","Solothurner Ruderclub 1 (Till Lüthi / Anouk Lüthi)","SOL 1","85","U19Mix C2x*","10:15:01.8","10:48:21.1","07:25.4","16:02.7","33:19.3","","33:19.3","00:02.2"
"🪸 2","- U19Mix C2x*","3","Lausanne Sports Section Aviron 4 (Arthur Warpelin / Alicia Van Dyke)","LSA 4","204","U19Mix C2x*","10:15:01.8","10:48:45.0","07:18.7","16:10.5","33:43.2","","33:43.2","00:26.1"
"🪸 3","- U19W C2x","1","RGM Solothurner RC / SC Sursee (Zoé Heer / Ella Misteli)","SOL/SUR","251","U19W C2x","10:15:01.8","10:49:40.6","07:31.2","16:36.4","34:38.8","","34:38.8",""
"🪸 3","- U19W C2x","2","Lausanne Sports Section Aviron 2 (Anaëlle Pacaud / Ella Hostettler)","LSA 2","203","U19W C2x","10:15:01.8","10:50:30.9","07:56.8","16:57.3","35:29.1","","35:29.1","00:50.3"
"🪸 3","- U19W C2x","3","Club Aviron Vésenaz 3 (Joalina Haymoz / Sienna Schmid)","CAV 3","202","U19W C2x","10:15:01.8","10:51:27.5","08:14.0","17:48.6","36:25.7","","36:25.7","01:46.9"
"🪸 3","- U19W C2x","4","Rowing Club Lausanne 2 (Eline Profit / Alice Roccavilla)","RCL 2","1116","U19W C2x","10:15:01.8","10:53:32.2","08:52.8","17:55.3","38:30.4","","38:30.4","03:51.6"
"🪸 4","- U19W C1x*","1","Società Canottieri Locarno 1 (Beatrice Ravini Perelli)","LOC 1","105","U19W C1x*","10:15:01.8","10:50:41.4","07:55.5","17:12.6","35:39.6","","35:39.6",""
"🪸 4","- U19W C1x*","2","Lausanne Sports Section Aviron 3 (Sarah Bianchi)","LSA 3","104","U19W C1x*","10:15:01.8","10:57:37.0","09:28.1","20:02.4","42:35.2","","42:35.2","06:55.6"
"🐚 1","- U19M C4x+","1","Rowing Club Lausanne 4 (Emilan Räderer (c) / Tamino Räderer / Adam Pakiels / Nello Quattrocchi / Akando Räderer)","RCL 4","403","U19M C4x+","11:45:00.5","12:21:09.0","08:27.3","16:35.4","36:08.5","","36:08.5",""
"🐚 1","- U19M C4x+","2","Lausanne Sports Section Aviron 5 (Vadim Parisi (c) / Léni Arricau / Matveï Schlageter / Benas Beniulis / Shams Jarowski)","LSA 5","412","U19M C4x+","11:45:00.5","12:26:32.7","10:13.6","20:21.5","41:32.2","","41:32.2","05:23.7"
"🐚 1","- U19M C4x+","","Club Aviron Vésenaz 4 (Stéphane Weiss (c) / Alix Heymans / Oscar Sluijs / Pietro Fatini del Grande / Lucio Pizzo)","CAV 4","926","U19M C4x+","DNS","","","","","","DNS",""
"🐚 2","- U19M C2x","1","Lausanne Sports Section Aviron 6 (Matteo James Edgar / William McClean)","LSA 6","203","U19M C2x","11:45:00.5","12:19:56.7","08:34.5","16:58.8","34:56.2","","34:56.2",""
"🐚 2","- U19M C2x","2","Club Aviron Vésenaz 7 (Clément Rault / Alexander Koudriaev)","CAV 7","202","U19M C2x","11:45:00.5","12:29:48.2","10:40.0","20:45.2","44:47.7","","44:47.7","09:51.5"
"🐚 2","- U19M C2x","","Lausanne Sports Section Aviron 7 (Alexy Leal / Elia Franco Trecate Ferrari)","LSA 7","204","U19M C2x","11:45:00.5","","11:10.2","21:56.0","","","",""
"🐚 3","- U19M C1x*","1","Lausanne Sports Section Aviron 8 (Nathan Clément)","LSA 8","104","U19M C1x*","11:45:00.5","12:28:08.2","10:07.9","20:26.1","43:07.7","","43:07.7",""
"🐚 3","- U19M C1x*","2","Ruderclub Uster 1 (Andrea Jamakosmanovic )","UST 1","107","U19M C1x*","11:45:00.5","12:31:59.2","11:43.6","22:01.4","46:58.7","","46:58.7","03:51.0"
"🐚 3","- U19M C1x*","3","Club Aviron Vésenaz 5 (Mathieu Sormani)","CAV 5","103","U19M C1x*","11:45:00.5","12:38:14.9","12:05.9","23:42.6","53:14.4","","53:14.4","10:06.7"
"🐚 3","- U19M C1x*","","Lausanne Sports Section Aviron 9 (Emilien Studer)","LSA 9","146","U19M C1x*","DNS","","","","","","DNS",""
"🦑 1","- M C4x+","1","Lausanne Sports Section Aviron 10 (Paolo Mattana (c) / Jonathan Below /  Axel Muhlethaler / Arnaud Tirard-Gatel / Antoine Bordero)","LSA 10","926","M C4x+","14:00:00.0","14:36:21.8","09:05.0","","36:21.8","","36:21.8",""
"🦑 1","- M C4x+","2","Club Aviron Vésenaz 8 (Florent Grillet-aubert (c) / Tomaso Marchegiani / Arthur Silvestre / Denis Sgaramella / Daniele Frisone)","CAV 8","405","M C4x+","14:00:00.0","14:36:52.1","08:52.9","18:00.6","36:52.1","","36:52.1","00:30.3"
"🦑 1","- M C4x+","3","Lausanne Sports Section Aviron 11 (Clara Galimberti (c) / Jakob Rager / Rolando Ferrini / Tom de Geus / Jean-David Maillefer)","LSA 11","412","M C4x+","14:00:00.0","14:38:14.2","11:00.7","20:07.4","38:14.2","","38:14.2","01:52.4"
"🦑 1","- M C4x+","4","Lausanne Sports Section Aviron / Société Nautique Neuchâtel (Denise Dupraz (c) / Ramzi Solomon / Gazzar Daniel / Fatien Michaël / Philippe Schucany)","LSA/SNN","413","MM C4x+","14:00:00.0","14:44:51.2","11:33.4","","44:51.2","","44:51.2","08:29.4"
"🦑 2","- Mix C4x+","1","Università Ca' Foscari e IUAV di Venezia 1 (Marie Minger (c) / Davide Menegazzo / Chiara Lastra / Luca Polito / Vittoria Stangherlin)","UCF 1","90","Mix C4x+","14:00:00.0","14:33:20.7","08:20.7","16:20.4","33:20.7","","33:20.7",""
"🦑 2","- Mix C4x+","2","Chablais Aviron Thonon 3 (Sylvaine Vincent (c) / Cindy Pellegrino / Anne-Laure Roger / Olivier Beal / Simon Dubouloz)","CAT 3","852","Mix C4x+","14:00:00.0","14:33:48.0","08:12.1","16:31.0","33:48.0","","33:48.0","00:27.3"
"🦑 2","- Mix C4x+","3","Università Ca' Foscari e IUAV di Venezia 2 (Giuseppe Barichello (c) / Stefano Falcone / Anita Serena / Pietro Bonaventura / Sara De Battisti)","UCF 2","05","Mix C4x+","14:00:00.0","14:36:35.0","09:05.3","18:34.6","36:35.0","","36:35.0","03:14.3"
"🦑 2","- Mix C4x+","4","Aviron Unil-Epfl 1 (Elena Pibiri (c) / Leonardo Gant / Beat Geissmann / Sofia Ares Oliveira / Mathilde Julien)","UNIL-EPFL 1","401","Mix C4x+","14:00:00.0","14:37:09.0","09:27.5","","37:09.0","","37:09.0","03:48.3"
"🦑 2","- Mix C4x+","5","Solothurner Ruderclub 2 (Jonathan Moser(c) / Christian Fluri / Anouk Lüthi / Ella Misteli / Till Lüthi)","SOL 2","428","Mix C4x+","14:00:00.0","14:40:54.4","09:48.8","20:16.9","40:54.4","","40:54.4","07:33.7"
